Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer
Is the dialect spoken in Jeju located in fact classified as a different language by all Korean linguists?,The dialect spoken in Jeju is in fact classified as a different language by some Korean linguists.,,hard
What cello manufacturer should I buy from if I want to play outside?,Luis & Clark,hard,hard
Does it have a border with Norway?,yes,easy,medium
How many people use the bus network daily?,More than 2.78 million people.,medium,easy
Who founded Montevideo?,The Spanish.,medium,medium
Did Faraday discover the chemical substance benzene?,yes,easy,easy
Does a polar bear live in the Arctic?,yes,easy,easy
What established a trading post on the island in 1819?,British East India Company ,,easy
What did Cleveland's opponents say in 1884 to counter his innocent image?,that he had fathered an illegitimate child while he was a lawyer in Buffalo,hard,hard
What happened in these positions in english?,These allophones cannot occur there.,,medium
What is the largest city in Romania?,Bucharest,medium,medium
What is the weather like in summer?,relatively warm,hard,medium
For how many years did Alessandro Volta live?,53,,medium
Is Malay the one of the most widely spoken languages in the world?,yes,,easy
What shape are a leopard's black roS08_settes in East Africa?,circular,hard,hard
Over how many languages are spoken in London?,Over 300,medium,easy
Is the president elected by popular vote?,yes,easy,easy
What family is the panda a part of?,Ursidae,medium,medium
Is Liechtenstein the smallest German-speaking country in the world?,Yes,easy,easy
Can turtles spend all their time underwater?,No,hard,easy
What do some historians of science refer to Faraday as?,best experimentalist in the history of science,medium,medium
How do india and latin america relate?,Uruguay exports architectural services to India and Latin America,,hard
How many groups are turtles broken down into?,Two,medium,medium
Did Faraday also discover the laws of electrolysis?,"Yes, Faraday also discovered the laws of  electrolysis.",easy,easy
Did Coolidge meet and marry Grace Anna Goodhue?,Yes,easy,easy
Did his mother die of pneumonia?,no,easy,medium
The Spanish Crown named Pizarro governor of what?,Hemming.,,medium
What is Monroe's daughter's name?,Maria Hester Monroe Gouverneur,medium,medium
Have penguins an average sense of hearing for birds ?,Yes,,easy
How long was Alessandro Volta a professor at the University of Pavia?,almost 25 years,hard,hard
Did Mainland Nova Scotia not come under British rule with the Treaty of Utrecht    (: ; ?,no!,,easy
Is the Aburukuwa a type of drum?,yes,easy,easy
What did Tourism in Romania attract in 2005?,investments worth 400 million euros,,medium
What did Faraday invent that is used almost universally in science laboratories?,Bunsen burner,medium,medium
Is the leopard an Old World mammal?,yes,easy,easy
Was Coulomb born in Angoulme France to a well-to-do family?,"Coulomb was born in AngoulÃªme, France, to a well-to-do family",,easy
Which building is the site of the German parliament?,The Reichstag building is the site of the German parliament. ,medium,easy
Are beetles insects?,Yes,easy,easy
What percentage of Liechtenstein's population is foreign-born?,67%,hard,hard
"What does the name ""Kuala Lumpur"" mean?","muddy confluence, ""muddy estuary,"" and ""muddy city""",medium,medium
What is Amedeo Avogadro?,A person.,,hard
What are the ways to join groups of nouns?,"Two nouns, or groups of nouns, may be joined in either of two ways: definite or indefinite.",hard,medium
Is Liechtenstein doubly landlocked?,Yes.,easy,easy
What are characteristic features of Finnish?,Characteristic features of Finnish are vowel harmony and an agglutinative morphology.,medium,medium
Did Fillmore form a law partnership before or after he founded the private University of Buffalo?,Law partnership founded before University of Buffalo,hard,hard
Who is the most popular rock group in Finland?,CMX,medium,hard
"Is the word ""Korean"" derived from Goryeo?",yes,easy,medium
Who was Grant's brother in law?,Fred Dent,medium,medium
Is turtle soup considered a delicacy?,yes,hard,hard
When was Melbourne officially declared as a city?,1847,medium,medium
Was Nikola Tesla's mother illiterate?,Nikola Tesla's mother never learned to read.,hard,hard
Was Coolidge opposed in the Republican nomination for Governor of MassachuS08_setts in 1918?,no,easy,hard
Are there many words in Malay that use natural gender?,No,hard,hard
Was Watt ranked 22nd in Michael H. Hart 's list of the most influential figures in history ?,Yes.,,easy
What is Northern California's most widely circulated newspaper,San Francisco Chronicle,medium,medium
Which Russian army general conquered Finland in 1809?,Alexander I,medium,medium
What countries border Liechtenstein?,Switzerland and Austria,hard,hard
Where are there small Portuguese-speaking communities?,Former overseas colonies of Portugal such as Macau and East Timor ,medium,medium
Did Lincoln's Wife's Family support slavery?,Yes,hard,medium
Egyptian Arabic is spoken by how many in Egypt?,76 million,medium,medium
"Who referred to the cello as �basso de viola da braccio""?",Monteverdi,hard,medium
What fraternity was Coolidge a member of?,Phi Gamma Delta,medium,medium
When did Tesla demonstrate wireless communication (radio)?,1893,medium,medium
How long are cougar adult males (from nose to tail)?,The length of adult males is around 2.4 meters (8 ft) long nose to tail.,medium,medium
"What traps a layer of air, and keeps them dry and warm under water?",Long guard hair,,medium
Who was a member of the Sandemanian sect of Christianity?,Faraday,medium,medium
Was Millard Fillmore the thirteenth President of the United States?,yes,easy,easy
What may a leopard be mistaken for?,A cheetah or a jaguar,medium,medium
Since when has Egypt been a republic?,June 18 1953,medium,medium
What are the three cat species that are native to Canada?,"cougar, bobcat, Canadian lynx",hard,hard
The bears sometimes what?,They sometimes have problems with various skin diseases with dermatitis caused sometimes by mites or other parasites.,,medium
Did Suharto resign as president?,Yes,,easy
Where did he publish his invention of the Voltaic pile battery?,the Philosophical Transactions of the Royal Society,,medium
Is English the language most often spoken in Montreal?,"No, the language most spoken in Montreal is French.",easy,hard
Does Coulomb leave a legacy?,yes,,easy
Is Uruguay's warmest month June?,No,easy,easy
What is an otter's den called?,holt,medium,medium
What were some other names of the city?,"Petrograd, Leningrad, and Piter",medium,hard
Did Ford need to do extra work to pay for college?,yes,hard,hard
What is the second biggest factor affecting the sound produced by a drum?,tension,medium,easy
Was the arrival of Louis Kossuth (exiled leader of a failed Hungarian revolution) another issue that presented itself during Fillmore's presidency?,Yes,easy,easy
What did The Legal Tender Act of 1862 establish?,"the United States Note, the first paper currency in United States history",medium,easy
For how long has the classification of dialects spoken outside of Finland been a controversial issue?,The classification of dialects spoken outside of Finland has been a controversial issue since Finland's independence in 1917.,hard,medium
What material is a chi flute fashioned from?,lacquered bamboo,hard,hard
Is Pencak Silat an Indonesian martial art ?,yes,,easy
Are wolves built for stamina?,Yes,easy,easy
"A year before improving and popularizing the electrophorus, what did Volta become?",A professor of physics at the Royal School in Como,hard,hard
What is the most common type of trumpet?,The B trumpet.,medium,medium
Are panthers a type of tiger?,No,easy,hard
How many species and genera does otter have?,13 species and 7 genera,easy,easy
What are some of the cougar's primary food sources?,"The cougar's primary food sources include ungulates such as deer, elk, and bighorn sheep, as well as domestic cattle, horses and sheep, particularly in the northern part of its range.",medium,easy
